30/07/14 17:06
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	   101618	 1009341	                  5174448	                         6048719	   173	
Pendientes:       	    61925	  720023	                  3695340	                         4317528	   134	
Únicos:           	    80238	  926826	                  4738644	                         5547531	   173	
Pendientes únicos:	    56183	  675129	                  3461544	                         4046797	   133	


Estadísticas por archivo individual:

Nombre de archivo  	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
perlnumber.pod     	            105	                   0	              90	                          0	             1298	                  0	           1272	                         0	                              6971	                                   0	                            6831	                                          0	                                     8121	                                          0	                                   7966	                                                 0	
perlobj.pod        	            551	                  28	             457	                         28	             5634	                164	           5455	                       164	                             27962	                                 970	                           27025	                                        970	                                    32706	                                       1179	                                  31620	                                              1179	
perlootut.pod      	            418	                  29	             338	                         29	             4457	                459	           4149	                       459	                             22083	                                2181	                           20411	                                       2181	                                    25715	                                       2518	                                  23764	                                              2518	
perlop.pod         	           1892	                 242	            1700	                        229	            20066	               1927	          19667	                      1861	                            101522	                                9763	                           98991	                                       9419	                                   119456	                                      11896	                                 116588	                                             11491	
perlopentut.pod    	            157	                 143	             127	                        127	             1521	               1509	           1419	                      1419	                              7479	                                7404	                            6855	                                       6855	                                     8835	                                       8754	                                   8123	                                              8123	
perlpacktut.pod    	            714	                 594	             640	                        574	             8529	               8265	           8392	                      8181	                             40538	                               38998	                           39517	                                      38472	                                    48689	                                      46661	                                  47335	                                             45904	
perlperf.pod       	            845	                 558	             654	                        473	             6872	               5403	           6404	                      5094	                             37007	                               28102	                           34291	                                      26301	                                    46457	                                      33500	                                  43219	                                             31321	
perlpod.pod        	            350	                  13	             271	                         13	             3721	                261	           3602	                       261	                             18312	                                1154	                           17634	                                       1154	                                    21044	                                       1352	                                  20291	                                              1352	
perlpodspec.pod    	            899	                 701	             672	                        642	            10872	              10569	          10331	                     10261	                             55794	                               54017	                           52729	                                      52335	                                    65114	                                      63154	                                  61362	                                             60924	
perlpodstyle.pod   	            145	                 102	             134	                        101	             1979	               1760	           1954	                      1751	                              9997	                                8806	                            9873	                                       8768	                                    11612	                                      10256	                                  11473	                                             10210	
perlpolicy.pod     	            209	                 174	             172	                        172	             3358	               3318	           3314	                      3314	                             17298	                               17082	                           17052	                                      17052	                                    20210	                                      19968	                                  19936	                                             19936	
perlport.pod       	           1329	                 784	            1027	                        767	            13635	              12054	          13025	                     11997	                             69486	                               60848	                           65998	                                      60543	                                    81415	                                      71082	                                  77608	                                             70731	
perlpragma.pod     	             95	                   3	              70	                          3	              822	                 10	            797	                        10	                              4039	                                  50	                            3897	                                         50	                                     4717	                                         56	                                   4559	                                                56	
perlre.pod         	           1434	                 255	            1275	                        244	            17273	               3266	          16979	                      3239	                             86866	                               16750	                           85332	                                      16555	                                   101952	                                      19828	                                 100243	                                             19611	
perlreapi.pod      	            472	                 356	             413	                        329	             4552	               4229	           4419	                      4134	                             23310	                               21319	                           22591	                                      20821	                                    27213	                                      24998	                                  26391	                                             24410	
perlrebackslash.pod	            396	                 325	             344	                        324	             4249	               4094	           4154	                      4093	                             20904	                               20134	                           20445	                                      20121	                                    25336	                                      24459	                                  24812	                                             24446	
perlrecharclass.pod	            599	                 514	             526	                        506	             6934	               6620	           6742	                      6582	                             35512	                               33756	                           34456	                                      33550	                                    42350	                                      40355	                                  41170	                                             40123	
perlref.pod        	            454	                  46	             400	                         42	             4895	                456	           4779	                       443	                             25486	                                2605	                           24905	                                       2507	                                    29757	                                       3073	                                  29075	                                              2951	
perlreftut.pod     	            294	                 215	             251	                        205	             3183	               2825	           3075	                      2764	                             14654	                               12627	                           13945	                                      12271	                                    17590	                                      15147	                                  16698	                                             14702	
perlreguts.pod     	            517	                 472	             450	                        444	             5861	               5797	           5786	                      5768	                             28819	                               28481	                           28436	                                      28323	                                    34354	                                      33992	                                  33938	                                             33822	
